Date,Close,Returns,Log Returns
2024-01-03,12.916,0.962,-0.0390594758801325
2024-01-04,12.943,1.002,0.0020942011329157235
2024-01-05,13.268,1.025,0.02479461711155822
2024-01-08,13.62,1.027,0.02618484129717803
2024-01-09,13.485,0.99,-0.009990181933814813
2024-01-10,13.62,1.01,0.009990181933814788
2024-01-11,13.431,0.986,-0.014014183661519302
2024-01-12,13.458,1.002,0.0020140603680837595
2024-01-16,13.377,0.994,-0.006054605306317492
2024-01-17,13.295,0.994,-0.00609134350964298
2024-01-18,13.295,1.0,0.0
2024-01-19,13.377,1.006,0.006091343509642927
2024-01-22,13.35,0.998,-0.0020262326611217595
2024-01-23,13.485,1.01,0.010090779327060151
2024-01-24,13.377,0.992,-0.008064546665938251
2024-01-25,13.458,1.006,0.0060546053063174525
2024-01-26,13.62,1.012,0.012000123293435664
2024-01-29,13.918,1.022,0.021633092903418784
2024-01-30,13.512,0.971,-0.029617153500525774
2024-01-31,12.998,0.962,-0.038820033462194314
2024-02-01,13.241,1.019,0.018576318501472674
2024-02-02,12.916,0.975,-0.024845883983823064
2024-02-05,12.618,0.977,-0.023330929171643096
2024-02-06,12.754,1.011,0.010672479627657792
2024-02-07,12.239,0.96,-0.04117588242113507
2024-02-08,12.429,1.015,0.015368042450860419
2024-02-09,12.646,1.017,0.01727909344944342
2024-02-12,12.943,1.024,0.023281397197732256
2024-02-13,12.212,0.944,-0.058143486763936325
2024-02-14,11.427,0.936,-0.06646195718285851
2024-02-15,12.023,1.052,0.05081932433545757
2024-02-16,11.996,0.998,-0.0022548281986803486
2024-02-20,11.833,0.986,-0.013636632074362894
2024-02-21,11.752,0.993,-0.006888608999512057
2024-02-22,11.806,1.005,0.004597620653247917
2024-02-23,11.996,1.016,0.01592762042062705
2024-02-26,11.806,0.984,-0.015927620420626988
2024-02-27,11.833,1.002,0.0022909883462640325
2024-02-28,11.508,0.973,-0.02784397952187857
2024-02-29,11.806,1.026,0.025552991175614548
2024-03-01,11.86,1.005,0.004576740059705147
2024-03-04,11.671,0.984,-0.01611083370534078
2024-03-05,11.725,1.005,0.004629711499073026
2024-03-06,11.914,1.016,0.016036931066696417
2024-03-07,12.05,1.011,0.011299575939407898
2024-03-08,12.104,1.004,0.004484304833882899
2024-03-11,12.239,1.011,0.011123605439184314
2024-03-12,12.294,1.004,0.004415010657521294
2024-03-13,12.402,1.009,0.008771894269534501
2024-03-14,11.914,0.961,-0.04009439113953107
2024-03-15,12.239,1.027,0.02690748621247514
2024-03-18,11.969,0.978,-0.02237233865305517
2024-03-19,11.86,0.991,-0.009090956419848402
2024-03-20,12.185,1.027,0.027028705623758503
2024-03-21,12.456,1.022,0.02197886928766864
2024-03-22,12.158,0.976,-0.024203599694642464
2024-03-25,12.239,1.007,0.006659319856118826
2024-03-26,11.969,0.978,-0.02237233865305517
2024-03-27,12.294,1.027,0.026787349310576452
2024-03-28,12.483,1.015,0.01530085723948731
2024-04-01,12.294,0.985,-0.015300857239487216
2024-04-02,12.077,0.982,-0.017778215408538595
2024-04-03,12.158,1.007,0.00670388489489844
2024-04-04,12.023,0.989,-0.011198266657182588
2024-04-05,11.995,0.998,-0.0023121505918002935
2024-04-08,11.967,0.998,-0.002317429333295996
2024-04-09,12.134,1.014,0.013824932662848715
2024-04-10,11.384,0.938,-0.06377593226314512
2024-04-11,11.495,1.01,0.00970877649004772
2024-04-12,11.329,0.986,-0.014598784780607535
2024-04-15,11.19,0.988,-0.012330585719411655
2024-04-16,10.968,0.98,-0.020050805028904817
2024-04-17,11.023,1.005,0.0050505394409836755
2024-04-18,11.162,1.013,0.012515780599768375
2024-04-19,11.412,1.022,0.022141145210261046
2024-04-22,11.412,1.0,0.0
2024-04-23,11.606,1.017,0.01688821422994646
2024-04-24,11.551,0.995,-0.00479627734523952
2024-04-25,11.523,0.998,-0.0024067515696627913
2024-04-26,11.634,1.01,0.009592527490430033
2024-04-29,11.717,1.007,0.0071343459401244196
2024-04-30,11.44,0.976,-0.023981995899281974
2024-05-01,11.801,1.032,0.03106580329403498
2024-05-02,11.912,1.009,0.009367794461715293
2024-05-03,12.023,1.009,0.009280852711189226
2024-05-06,12.078,1.005,0.004608245645636132
2024-05-07,11.884,0.984,-0.016222832739668566
2024-05-08,11.773,0.991,-0.00938970401051394
2024-05-09,13.078,1.111,0.10512459716333088
2024-05-10,12.8,0.979,-0.02146007933476289
2024-05-13,12.106,0.946,-0.05575575795225887
2024-05-14,12.439,1.028,0.02715096233808095
2024-05-15,12.606,1.013,0.013304028445841647
2024-05-16,12.661,1.004,0.0043955567237471994
2024-05-17,12.55,0.991,-0.008810519699069083
2024-05-20,12.189,0.971,-0.029182904020690056
2024-05-21,12.189,1.0,0.0
2024-05-22,12.097,0.992,-0.0076219457972157845
2024-05-23,10.783,0.891,-0.11501339350561439
2024-05-24,10.829,1.004,0.004282682202729415
2024-05-28,11.023,1.018,0.017789625417142022
2024-05-29,10.708,0.971,-0.028962979450096835
2024-05-30,10.903,1.018,0.017987722749456776
2024-05-31,11.014,1.01,0.010135182936627603
2024-06-03,11.005,0.999,-0.000840606758950895
2024-06-04,10.921,0.992,-0.007598214923730794
2024-06-05,11.18,1.024,0.023451685034187885
